First Name,Last Name,Company,Email,Phone,Lead Source,Lead Status,Industry,Created Date
Danielle,Johnson,Sanchez-Taylor,garzaanthony@robinson.org,8386379402,Ads,New,Software,2025-04-15
Roberto,Ramirez,Bernard LLC,jamesmichael@munoz-roman.info,+1-161-849-5931,Ads,Qualified,Finance,2024-08-04
Donna,Mejia,Wyatt Inc,shawn52@yahoo.com,(341)928-3276x483,Referral,Contacted,Manufacturing,2025-04-09
Mark,Tate,Perez Inc,nadams@hotmail.com,001-537-672-4238x849,Web,Converted,Software,2024-12-31
Rachael,Ross,Osborn and Sons,camposmichelle@gmail.com,+1-269-166-9784x8018,Social Media,Lost,Software,2025-05-05
Joseph,Davidson,Carter and Sons,mckaynancy@yahoo.com,281.489.3252x88095,Web,New,Finance,2025-01-23
Andrew,Hickman,Allen-Allen,dennislisa@cannon.net,(489)638-3465,Referral,Converted,Education,2025-01-04
Rachel,Hayes,Walker LLC,briannasmith@welch.com,834-738-2997,Web,Converted,Finance,2024-10-20
Kristen,Aguirre,Davis Ltd,rodney70@hotmail.com,+1-106-513-3387x2624,Ads,Converted,Healthcare,2025-01-13
John,Leblanc,Morton-Chase,pearsonamber@novak.com,(773)602-6064x74687,Referral,Lost,Education,2024-09-16
James,Robinson,Riley PLC,brian97@calhoun.net,219-136-1939,Email,New,Finance,2025-03-05
Bernard,Miller,"Silva, Mills and Donovan",john62@brewer.com,7991183842,Ads,Lost,Retail,2025-07-15
Michael,Jones,Wood and Sons,cheryl80@hotmail.com,+1-412-411-8244,Email,Contacted,Finance,2025-03-09
Jason,Cooper,"Walters, Baker and Freeman",waltersmaria@smith.com,(786)801-1280,Email,New,Software,2025-06-07
Mike,Tran,Anderson-Parker,jason31@deleon-henson.biz,+1-232-260-2563x421,Phone Inquiry,New,Retail,2024-12-13
Monica,Garrison,Gonzalez Group,lori33@gmail.com,+1-365-414-5868x50142,Email,Converted,Retail,2025-02-28
Sydney,Baker,Carlson LLC,gobrien@gmail.com,(934)060-8835x6159,Web,Lost,Education,2024-11-16
Elizabeth,Martinez,Hunter-Estrada,jterry@gmail.com,662.994.6804,Web,Lost,Software,2024-11-06
Jason,Floyd,"Pena, Marshall and Ramos",yleon@jackson.org,134-332-0037x91769,Social Media,Qualified,Manufacturing,2024-10-01
Jennifer,Cruz,Sanchez-Douglas,osbornejeffery@holmes.com,278.895.7986x872,Social Media,Qualified,Education,2025-05-02
Michelle,Cole,Larsen LLC,joshuajones@yahoo.com,455.812.2362,Referral,New,Software,2025-04-18
Jason,Perry,Daniels-Perry,xprice@shah.org,(705)466-8893x7346,Ads,Contacted,Retail,2025-01-22
Anthony,Rogers,"Yates, Ramsey and Pittman",meadowsbrittany@johnson.info,(046)537-5564,Web,Contacted,Software,2025-05-06
Stephanie,Fisher,Ruiz Ltd,jeffrey10@herring.com,+1-232-719-3745x299,Phone Inquiry,Qualified,Healthcare,2025-05-04
Jennifer,Strickland,Oconnell Inc,barbara66@gonzalez.com,491-905-8651,Ads,Qualified,Finance,2025-01-30
Deborah,Smith,Short-Garcia,bzimmerman@gmail.com,001-849-877-6945x3147,Email,Qualified,Finance,2024-10-20
Karen,Hudson,"Gray, Johnson and Rosales",zlewis@peterson-beard.com,+1-083-136-7837,Ads,Qualified,Manufacturing,2025-03-25
Jennifer,West,Davis and Sons,kevinperkins@yahoo.com,+1-856-855-7444,Ads,New,Education,2024-10-15
David,Lee,Newton Ltd,javierwashington@lawrence.com,435.240.8240,Ads,Contacted,Education,2024-08-08
Angela,Terry,Little Group,andrewstaylor@peterson-sheppard.com,116.719.0229x4131,Ads,Contacted,Finance,2025-02-19
Kathy,Obrien,"Perez, Mills and Hayes",michelle64@hotmail.com,+1-091-334-1232x812,Phone Inquiry,Lost,Retail,2024-07-19
Ricky,Norris,Carter-Hall,ojones@yahoo.com,+1-936-183-2421x0249,Ads,Converted,Finance,2025-05-04
Madison,Morse,Martinez-Barker,vincent77@gmail.com,+1-065-940-1399x049,Ads,Qualified,Software,2024-08-02
Kathryn,Thompson,"Pearson, Moon and White",ecosta@yahoo.com,(551)256-7468x07154,Referral,New,Retail,2024-11-20
Darrell,Barton,"Bryan, Smith and Booth",hbrown@yahoo.com,+1-770-348-2477x109,Phone Inquiry,Qualified,Software,2025-05-24
John,Moore,"Smith, Russell and Walker",pvalentine@jimenez.com,467.737.8263x98214,Referral,Converted,Manufacturing,2025-05-14
Kristy,Perry,"Adams, Smith and Barber",seanwashington@yahoo.com,+1-867-533-9636,Email,Contacted,Manufacturing,2024-08-03
Louis,Kennedy,Hughes-Alvarado,ihanna@sanford.info,870-262-1745,Phone Inquiry,Lost,Manufacturing,2025-03-17
Heather,Santos,Phelps-Villarreal,courtney78@gmail.com,+1-134-316-1172x400,Phone Inquiry,Contacted,Retail,2024-11-20
Laura,Carter,Jordan-Sanchez,georgemiller@yahoo.com,+1-379-237-4740x748,Referral,Contacted,Manufacturing,2024-09-17
Charles,Landry,"Evans, Hayden and Vaughn",james67@gmail.com,695.944.0640,Social Media,Converted,Retail,2025-02-22
Michelle,Osborne,Lozano Ltd,kimberly39@yahoo.com,394.210.4709,Ads,Converted,Healthcare,2024-12-06
Jessica,Davis,Murphy-Perry,kristinwalter@schmidt-mcintyre.com,745-171-2368x516,Social Media,Lost,Retail,2024-07-23
Joseph,Martinez,Chambers-Chambers,daniel37@gmail.com,+1-859-317-4612x004,Referral,Contacted,Education,2025-01-25
Darren,Young,"Taylor, Chavez and Santiago",nicolepena@yahoo.com,+1-640-537-7351x585,Phone Inquiry,New,Software,2024-08-10
Raymond,Lopez,Rush Group,darleneharper@williams.com,(931)839-3352,Web,Contacted,Manufacturing,2025-05-20
Rachel,Smith,Huerta PLC,danieldelacruz@gmail.com,5395024026,Referral,Lost,Education,2025-02-07
Daniel,Brown,Strickland-Palmer,ngordon@acosta.net,700-766-1771x1592,Web,Lost,Healthcare,2024-08-12
David,Weber,"Kelley, Nguyen and Vang",bwagner@gmail.com,001-183-673-6576x615,Social Media,Lost,Education,2024-12-30
Larry,Scott,Mcdaniel Group,deckerchristopher@garner.com,+1-098-851-6560,Email,Converted,Software,2024-11-06
Caroline,Bell,"Romero, Moore and Olson",megan51@andrews-aguirre.net,001-998-094-0244x55022,Ads,New,Manufacturing,2025-02-22
Diane,Jones,"Schultz, Johnson and Reese",vbarnes@wood.com,001-991-022-9014x76797,Social Media,Qualified,Manufacturing,2024-12-25
Joshua,Fischer,Reed Inc,trose@gmail.com,690.034.3244,Email,New,Retail,2024-11-22
David,Jimenez,Thompson-James,charles06@stevens.com,001-696-641-6052,Phone Inquiry,Contacted,Healthcare,2025-05-25
Stacey,Stevens,"Gillespie, Davis and Richard",hchapman@foster.com,521.818.8355,Web,Qualified,Education,2025-04-26
Susan,Brewer,Young and Sons,glennhernandez@hotmail.com,277-997-9955,Referral,Converted,Software,2024-09-14
Scott,Harrison,"Turner, Hill and Brown",steven00@decker-jones.com,+1-986-798-0793x597,Ads,Qualified,Manufacturing,2025-01-28
Edward,Brown,Shepherd LLC,benjaminzimmerman@warren-bishop.com,(466)590-5151x864,Social Media,Converted,Finance,2024-10-23
Jennifer,Douglas,"Marks, Cook and Aguilar",kyle62@fletcher.com,(816)850-5423,Referral,Qualified,Finance,2024-11-27
Stacey,Tucker,Cooke and Sons,megan18@conley.com,001-929-622-2927x06537,Social Media,Converted,Software,2025-03-12
Justin,Goodman,Young-Allen,michealvalentine@yahoo.com,468.862.3924x075,Social Media,Qualified,Healthcare,2025-02-18
Sarah,Dawson,"Rosales, Mitchell and Hines",jwhitehead@yahoo.com,375-060-6853,Web,New,Retail,2024-12-14
Virginia,Brooks,Flores Inc,devinmitchell@yahoo.com,001-277-901-0432x898,Email,Contacted,Software,2024-12-29
